Unnamed: 0	assigned_cluster
mouse1_lib1.final_cell_0084	alpha
mouse1_lib1.final_cell_0085	ductal
mouse1_lib1.final_cell_0086	beta
mouse1_lib1.final_cell_0087	ductal
mouse1_lib1.final_cell_0088	ductal
mouse1_lib1.final_cell_0089	beta
mouse1_lib1.final_cell_0090	ductal
mouse1_lib1.final_cell_0091	delta
mouse1_lib1.final_cell_0092	endothelial
mouse1_lib1.final_cell_0093	beta
mouse1_lib1.final_cell_0094	beta
mouse1_lib1.final_cell_0095	ductal
mouse1_lib1.final_cell_0096	delta
mouse1_lib1.final_cell_0097	beta
mouse1_lib1.final_cell_0098	ductal
mouse1_lib1.final_cell_0099	ductal
mouse1_lib1.final_cell_0100	endothelial
mouse1_lib1.final_cell_0101	beta
mouse1_lib1.final_cell_0102	endothelial
mouse1_lib1.final_cell_0103	beta
mouse1_lib1.final_cell_0104	ductal
mouse1_lib1.final_cell_0105	quiescent_stellate
mouse1_lib1.final_cell_0106	beta
mouse1_lib1.final_cell_0107	quiescent_stellate
mouse1_lib1.final_cell_0108	beta
mouse1_lib1.final_cell_0109	beta
mouse1_lib1.final_cell_0110	quiescent_stellate
mouse1_lib1.final_cell_0111	delta
mouse1_lib1.final_cell_0112	macrophage
mouse1_lib1.final_cell_0113	beta
mouse1_lib1.final_cell_0114	beta
mouse1_lib1.final_cell_0115	endothelial
mouse1_lib1.final_cell_0116	macrophage
mouse1_lib1.final_cell_0117	beta
mouse1_lib1.final_cell_0118	beta
mouse1_lib1.final_cell_0119	beta
mouse1_lib1.final_cell_0120	endothelial
mouse1_lib1.final_cell_0121	beta
mouse1_lib1.final_cell_0122	delta
mouse1_lib1.final_cell_0123	beta
mouse1_lib1.final_cell_0124	macrophage
mouse1_lib1.final_cell_0125	beta
mouse1_lib1.final_cell_0126	quiescent_stellate
mouse1_lib1.final_cell_0127	ductal
mouse1_lib1.final_cell_0128	beta
mouse1_lib1.final_cell_0129	beta
mouse1_lib1.final_cell_0130	beta
mouse1_lib1.final_cell_0131	beta
mouse1_lib1.final_cell_0132	beta
mouse1_lib1.final_cell_0133	ductal
mouse1_lib1.final_cell_0134	beta
mouse1_lib1.final_cell_0135	ductal
mouse1_lib1.final_cell_0136	delta
mouse1_lib1.final_cell_0137	beta
mouse1_lib1.final_cell_0138	beta
mouse1_lib1.final_cell_0139	alpha
mouse1_lib1.final_cell_0140	ductal
mouse1_lib1.final_cell_0141	beta
mouse1_lib1.final_cell_0142	beta
mouse1_lib1.final_cell_0143	beta
mouse1_lib1.final_cell_0144	beta
mouse1_lib1.final_cell_0145	endothelial
mouse1_lib1.final_cell_0146	delta
mouse1_lib1.final_cell_0147	beta
mouse1_lib1.final_cell_0148	beta
mouse1_lib1.final_cell_0149	beta
mouse1_lib1.final_cell_0150	beta
mouse1_lib1.final_cell_0151	ductal
mouse1_lib1.final_cell_0152	beta
mouse1_lib1.final_cell_0153	ductal
mouse1_lib1.final_cell_0154	beta
mouse1_lib1.final_cell_0155	ductal
mouse1_lib1.final_cell_0156	delta
mouse1_lib1.final_cell_0157	endothelial
mouse1_lib1.final_cell_0158	beta
mouse1_lib1.final_cell_0159	ductal
mouse1_lib1.final_cell_0160	macrophage
mouse1_lib1.final_cell_0161	delta
mouse1_lib1.final_cell_0162	immune_other
mouse1_lib1.final_cell_0163	beta
mouse1_lib1.final_cell_0164	beta
mouse1_lib1.final_cell_0165	ductal
mouse1_lib1.final_cell_0166	delta
mouse1_lib1.final_cell_0167	gamma
mouse1_lib1.final_cell_0168	beta
mouse1_lib1.final_cell_0169	beta
mouse1_lib1.final_cell_0170	beta
mouse1_lib1.final_cell_0171	beta
mouse1_lib1.final_cell_0172	beta
mouse1_lib1.final_cell_0173	beta
mouse1_lib1.final_cell_0174	beta
mouse1_lib1.final_cell_0175	ductal
mouse1_lib1.final_cell_0176	ductal
mouse1_lib1.final_cell_0177	beta
mouse1_lib1.final_cell_0178	ductal
mouse1_lib1.final_cell_0179	beta
mouse1_lib1.final_cell_0180	beta
mouse1_lib1.final_cell_0181	beta
mouse1_lib1.final_cell_0182	endothelial
mouse1_lib1.final_cell_0183	ductal
mouse1_lib1.final_cell_0184	ductal
mouse1_lib1.final_cell_0185	ductal
mouse1_lib1.final_cell_0186	beta
mouse1_lib1.final_cell_0187	endothelial
mouse1_lib1.final_cell_0188	endothelial
mouse1_lib1.final_cell_0189	gamma
mouse1_lib1.final_cell_0190	beta
mouse1_lib1.final_cell_0191	beta
mouse1_lib1.final_cell_0192	ductal
mouse1_lib1.final_cell_0193	ductal
mouse1_lib1.final_cell_0194	ductal
mouse1_lib1.final_cell_0195	quiescent_stellate
mouse1_lib1.final_cell_0196	beta
mouse1_lib1.final_cell_0197	beta
mouse1_lib1.final_cell_0198	beta
mouse1_lib1.final_cell_0199	beta
mouse1_lib1.final_cell_0200	ductal
mouse1_lib1.final_cell_0201	ductal
mouse1_lib1.final_cell_0202	ductal
mouse1_lib1.final_cell_0203	endothelial
mouse1_lib1.final_cell_0204	endothelial
mouse1_lib1.final_cell_0205	delta
mouse1_lib1.final_cell_0206	beta
mouse1_lib1.final_cell_0207	quiescent_stellate
mouse1_lib1.final_cell_0208	endothelial
mouse1_lib1.final_cell_0209	beta
mouse1_lib1.final_cell_0210	ductal
mouse1_lib1.final_cell_0211	beta
mouse1_lib1.final_cell_0212	delta
mouse1_lib1.final_cell_0213	beta
mouse1_lib1.final_cell_0214	beta
mouse1_lib1.final_cell_0215	ductal
mouse1_lib1.final_cell_0216	beta
mouse1_lib1.final_cell_0217	delta
mouse1_lib1.final_cell_0218	beta
mouse1_lib1.final_cell_0219	beta
mouse1_lib1.final_cell_0220	delta
mouse1_lib1.final_cell_0221	ductal
mouse1_lib1.final_cell_0222	activated_stellate
mouse1_lib1.final_cell_0223	beta
mouse1_lib1.final_cell_0224	beta
mouse1_lib1.final_cell_0225	delta
mouse1_lib1.final_cell_0226	delta
mouse1_lib1.final_cell_0227	ductal
mouse1_lib1.final_cell_0228	gamma
mouse1_lib1.final_cell_0229	beta
mouse1_lib1.final_cell_0230	beta
mouse1_lib1.final_cell_0231	gamma
mouse1_lib1.final_cell_0232	ductal
mouse1_lib1.final_cell_0233	endothelial
mouse1_lib1.final_cell_0234	quiescent_stellate
mouse1_lib1.final_cell_0235	endothelial
mouse1_lib1.final_cell_0236	ductal
mouse1_lib1.final_cell_0237	quiescent_stellate
mouse1_lib1.final_cell_0238	ductal
mouse1_lib1.final_cell_0239	ductal
mouse1_lib1.final_cell_0240	beta
mouse1_lib1.final_cell_0241	beta
mouse1_lib1.final_cell_0242	delta
mouse1_lib1.final_cell_0243	beta
mouse1_lib1.final_cell_0244	ductal
mouse1_lib1.final_cell_0245	delta
mouse1_lib1.final_cell_0246	delta
mouse1_lib1.final_cell_0247	beta
mouse1_lib1.final_cell_0248	beta
mouse1_lib1.final_cell_0249	ductal
mouse1_lib1.final_cell_0250	ductal
mouse1_lib1.final_cell_0251	endothelial
mouse1_lib1.final_cell_0252	beta
mouse1_lib1.final_cell_0253	quiescent_stellate
mouse1_lib1.final_cell_0254	delta
mouse1_lib1.final_cell_0255	ductal
mouse1_lib1.final_cell_0256	ductal
mouse1_lib1.final_cell_0257	beta
mouse1_lib1.final_cell_0258	ductal
mouse1_lib1.final_cell_0259	beta
mouse1_lib1.final_cell_0260	ductal
mouse1_lib1.final_cell_0261	ductal
mouse1_lib1.final_cell_0262	ductal
mouse1_lib1.final_cell_0263	B_cell
mouse1_lib1.final_cell_0264	ductal
mouse1_lib1.final_cell_0265	T_cell
mouse1_lib1.final_cell_0266	ductal
mouse1_lib1.final_cell_0267	ductal
mouse1_lib1.final_cell_0268	beta
mouse1_lib1.final_cell_0269	ductal
mouse1_lib1.final_cell_0270	beta
mouse1_lib1.final_cell_0271	ductal
mouse1_lib1.final_cell_0272	ductal
mouse1_lib1.final_cell_0273	ductal
mouse1_lib1.final_cell_0274	ductal
mouse1_lib1.final_cell_0275	endothelial
mouse1_lib1.final_cell_0276	endothelial
mouse1_lib1.final_cell_0277	ductal
mouse1_lib2.final_cell_0001	beta
mouse1_lib2.final_cell_0002	schwann
mouse1_lib2.final_cell_0003	delta
mouse1_lib2.final_cell_0004	alpha
mouse1_lib2.final_cell_0005	beta
mouse1_lib2.final_cell_0006	beta
mouse1_lib2.final_cell_0007	ductal
mouse1_lib2.final_cell_0008	beta
mouse1_lib2.final_cell_0009	alpha
mouse1_lib2.final_cell_0010	schwann
mouse1_lib2.final_cell_0011	ductal
mouse1_lib2.final_cell_0012	ductal
mouse1_lib2.final_cell_0013	ductal
mouse1_lib2.final_cell_0014	quiescent_stellate
mouse1_lib2.final_cell_0015	beta
mouse1_lib2.final_cell_0016	ductal
mouse1_lib2.final_cell_0017	ductal
mouse1_lib2.final_cell_0018	endothelial
mouse1_lib2.final_cell_0019	beta
mouse1_lib2.final_cell_0020	ductal
mouse1_lib2.final_cell_0021	ductal
mouse1_lib2.final_cell_0022	ductal
mouse1_lib2.final_cell_0023	ductal
mouse1_lib2.final_cell_0024	ductal
mouse1_lib2.final_cell_0025	beta
mouse1_lib2.final_cell_0026	ductal
mouse1_lib2.final_cell_0027	ductal
mouse1_lib2.final_cell_0028	ductal
mouse1_lib2.final_cell_0029	ductal
mouse1_lib2.final_cell_0030	ductal
mouse1_lib2.final_cell_0031	endothelial
mouse1_lib2.final_cell_0032	beta
mouse1_lib2.final_cell_0033	beta
mouse1_lib2.final_cell_0034	beta
mouse1_lib2.final_cell_0035	endothelial
mouse1_lib2.final_cell_0036	ductal
mouse1_lib2.final_cell_0037	beta
mouse1_lib2.final_cell_0038	beta
mouse1_lib2.final_cell_0039	beta
mouse1_lib2.final_cell_0040	ductal
mouse1_lib2.final_cell_0041	beta
mouse1_lib2.final_cell_0042	beta
mouse1_lib2.final_cell_0043	ductal
mouse1_lib2.final_cell_0044	beta
mouse1_lib2.final_cell_0045	ductal
mouse1_lib2.final_cell_0046	endothelial
mouse1_lib2.final_cell_0047	ductal
mouse1_lib2.final_cell_0048	endothelial
mouse1_lib2.final_cell_0049	beta
mouse1_lib2.final_cell_0050	endothelial
mouse1_lib2.final_cell_0051	ductal
mouse1_lib2.final_cell_0052	ductal
mouse1_lib2.final_cell_0053	beta
mouse1_lib2.final_cell_0054	ductal
mouse1_lib2.final_cell_0055	endothelial
mouse1_lib2.final_cell_0056	endothelial
mouse1_lib2.final_cell_0057	immune_other
mouse1_lib2.final_cell_0058	beta
mouse1_lib2.final_cell_0059	ductal
mouse1_lib2.final_cell_0060	beta
mouse1_lib2.final_cell_0061	beta
mouse1_lib2.final_cell_0062	beta
mouse1_lib2.final_cell_0063	beta
mouse1_lib2.final_cell_0064	delta
mouse1_lib2.final_cell_0065	beta
mouse1_lib2.final_cell_0066	ductal
mouse1_lib2.final_cell_0067	beta
mouse1_lib2.final_cell_0068	ductal
mouse1_lib2.final_cell_0069	endothelial
mouse1_lib2.final_cell_0070	beta
mouse1_lib2.final_cell_0071	ductal
mouse1_lib2.final_cell_0072	ductal
mouse1_lib2.final_cell_0073	beta
mouse1_lib2.final_cell_0074	beta
mouse1_lib2.final_cell_0075	beta
mouse1_lib2.final_cell_0076	beta
mouse1_lib2.final_cell_0077	ductal
mouse1_lib2.final_cell_0078	endothelial
mouse1_lib2.final_cell_0079	macrophage
mouse1_lib2.final_cell_0080	beta
mouse1_lib2.final_cell_0081	ductal
mouse1_lib2.final_cell_0082	beta
mouse1_lib2.final_cell_0083	ductal
mouse1_lib2.final_cell_0084	beta
mouse1_lib2.final_cell_0085	beta
mouse1_lib2.final_cell_0086	delta
mouse1_lib2.final_cell_0087	beta
mouse1_lib2.final_cell_0088	macrophage
mouse1_lib2.final_cell_0089	beta
mouse1_lib2.final_cell_0090	beta
mouse1_lib2.final_cell_0091	beta
mouse1_lib2.final_cell_0092	beta
mouse1_lib2.final_cell_0093	quiescent_stellate
mouse1_lib2.final_cell_0094	beta
mouse1_lib2.final_cell_0095	endothelial
mouse1_lib2.final_cell_0096	beta
mouse1_lib2.final_cell_0097	beta
mouse1_lib2.final_cell_0098	beta
mouse1_lib2.final_cell_0099	macrophage
mouse1_lib2.final_cell_0100	ductal
mouse1_lib2.final_cell_0101	beta
mouse1_lib2.final_cell_0102	endothelial
mouse1_lib2.final_cell_0103	beta
mouse1_lib2.final_cell_0104	beta
mouse1_lib2.final_cell_0105	delta
mouse1_lib2.final_cell_0106	macrophage
mouse1_lib2.final_cell_0107	ductal
mouse1_lib2.final_cell_0108	beta
mouse1_lib2.final_cell_0109	beta
mouse1_lib2.final_cell_0110	ductal
mouse1_lib2.final_cell_0111	beta
mouse1_lib2.final_cell_0112	beta
mouse1_lib2.final_cell_0113	delta
mouse1_lib2.final_cell_0114	quiescent_stellate
mouse1_lib2.final_cell_0115	beta
mouse1_lib2.final_cell_0116	beta
mouse1_lib2.final_cell_0117	ductal
mouse1_lib2.final_cell_0118	beta
mouse1_lib2.final_cell_0119	endothelial
mouse1_lib2.final_cell_0120	beta
mouse1_lib2.final_cell_0121	delta
mouse1_lib2.final_cell_0122	beta
mouse1_lib2.final_cell_0123	delta
mouse1_lib2.final_cell_0124	endothelial
mouse1_lib2.final_cell_0125	beta
mouse1_lib2.final_cell_0126	beta
mouse1_lib2.final_cell_0127	ductal
mouse1_lib2.final_cell_0128	gamma
mouse1_lib2.final_cell_0129	gamma
mouse1_lib2.final_cell_0130	ductal
mouse1_lib2.final_cell_0131	beta
mouse1_lib2.final_cell_0132	endothelial
mouse1_lib2.final_cell_0133	beta
mouse1_lib2.final_cell_0134	beta
mouse1_lib2.final_cell_0135	delta
mouse1_lib2.final_cell_0136	ductal
mouse1_lib2.final_cell_0137	beta
mouse1_lib2.final_cell_0138	delta
mouse1_lib2.final_cell_0139	endothelial
mouse1_lib2.final_cell_0140	gamma
mouse1_lib2.final_cell_0141	ductal
mouse1_lib2.final_cell_0142	macrophage
mouse1_lib2.final_cell_0143	quiescent_stellate
mouse1_lib2.final_cell_0144	ductal
mouse1_lib2.final_cell_0145	beta
mouse1_lib2.final_cell_0146	beta
mouse1_lib2.final_cell_0147	beta
mouse1_lib2.final_cell_0148	beta
mouse1_lib2.final_cell_0149	beta
mouse1_lib2.final_cell_0150	delta
mouse1_lib2.final_cell_0151	ductal
mouse1_lib2.final_cell_0152	beta
mouse1_lib2.final_cell_0153	ductal
mouse1_lib2.final_cell_0154	delta
mouse1_lib2.final_cell_0155	delta
mouse1_lib2.final_cell_0156	beta
mouse1_lib2.final_cell_0157	beta
mouse1_lib2.final_cell_0158	endothelial
mouse1_lib2.final_cell_0159	beta
mouse1_lib2.final_cell_0160	delta
mouse1_lib2.final_cell_0161	beta
mouse1_lib2.final_cell_0162	delta
mouse1_lib2.final_cell_0163	beta
mouse1_lib2.final_cell_0164	alpha
mouse1_lib2.final_cell_0165	ductal
mouse1_lib2.final_cell_0166	beta
mouse1_lib2.final_cell_0167	quiescent_stellate
mouse1_lib2.final_cell_0168	ductal
mouse1_lib2.final_cell_0169	beta
mouse1_lib2.final_cell_0170	endothelial
mouse1_lib2.final_cell_0171	ductal
mouse1_lib2.final_cell_0172	beta
mouse1_lib2.final_cell_0173	beta
mouse1_lib2.final_cell_0174	beta
mouse1_lib2.final_cell_0175	beta
mouse1_lib2.final_cell_0176	beta
mouse1_lib2.final_cell_0177	beta
mouse1_lib2.final_cell_0178	beta
mouse1_lib2.final_cell_0179	endothelial
mouse1_lib2.final_cell_0180	beta
mouse1_lib2.final_cell_0181	ductal
mouse1_lib2.final_cell_0182	beta
mouse1_lib2.final_cell_0183	endothelial
mouse1_lib2.final_cell_0184	beta
mouse1_lib2.final_cell_0185	beta
mouse1_lib2.final_cell_0186	macrophage
mouse1_lib2.final_cell_0187	beta
mouse1_lib2.final_cell_0188	delta
mouse1_lib2.final_cell_0189	beta
mouse1_lib2.final_cell_0190	beta
mouse1_lib2.final_cell_0191	beta
mouse1_lib2.final_cell_0192	beta
mouse1_lib2.final_cell_0193	beta
mouse1_lib2.final_cell_0194	ductal
mouse1_lib2.final_cell_0195	beta
mouse1_lib2.final_cell_0196	beta
mouse1_lib2.final_cell_0197	beta
mouse1_lib2.final_cell_0198	gamma
mouse1_lib2.final_cell_0199	beta
mouse1_lib2.final_cell_0200	endothelial
mouse1_lib2.final_cell_0201	macrophage
mouse1_lib2.final_cell_0202	endothelial
mouse1_lib2.final_cell_0203	beta
mouse1_lib2.final_cell_0204	beta
mouse1_lib2.final_cell_0205	ductal
mouse1_lib2.final_cell_0206	endothelial
mouse1_lib2.final_cell_0207	beta
mouse1_lib2.final_cell_0208	beta
mouse1_lib2.final_cell_0209	beta
mouse1_lib2.final_cell_0210	delta
mouse1_lib2.final_cell_0211	beta
mouse1_lib2.final_cell_0212	quiescent_stellate
mouse1_lib2.final_cell_0213	delta
mouse1_lib2.final_cell_0214	beta
mouse1_lib2.final_cell_0215	beta
mouse1_lib2.final_cell_0216	beta
mouse1_lib2.final_cell_0217	quiescent_stellate
mouse1_lib2.final_cell_0218	delta
mouse1_lib2.final_cell_0219	ductal
mouse1_lib2.final_cell_0220	ductal
mouse1_lib2.final_cell_0221	beta
mouse1_lib2.final_cell_0222	beta
mouse1_lib2.final_cell_0223	endothelial
mouse1_lib2.final_cell_0224	beta
mouse1_lib2.final_cell_0225	beta
mouse1_lib2.final_cell_0226	delta
mouse1_lib2.final_cell_0227	quiescent_stellate
mouse1_lib2.final_cell_0228	gamma
mouse1_lib2.final_cell_0229	delta
mouse1_lib2.final_cell_0230	beta
mouse1_lib2.final_cell_0231	delta
mouse1_lib2.final_cell_0232	beta
mouse1_lib2.final_cell_0233	ductal
mouse1_lib2.final_cell_0234	ductal
mouse1_lib2.final_cell_0235	beta
mouse1_lib2.final_cell_0236	beta
mouse1_lib2.final_cell_0237	delta
mouse1_lib2.final_cell_0238	beta
mouse1_lib2.final_cell_0239	endothelial
mouse1_lib2.final_cell_0240	delta
mouse1_lib2.final_cell_0241	delta
mouse1_lib2.final_cell_0242	beta
mouse1_lib2.final_cell_0243	delta
mouse1_lib2.final_cell_0244	alpha
mouse1_lib2.final_cell_0245	quiescent_stellate
mouse1_lib2.final_cell_0246	beta
mouse1_lib2.final_cell_0247	gamma
mouse1_lib2.final_cell_0248	endothelial
mouse1_lib2.final_cell_0249	delta
mouse1_lib2.final_cell_0250	ductal
mouse1_lib2.final_cell_0251	ductal
mouse1_lib2.final_cell_0252	beta
mouse1_lib2.final_cell_0253	delta
mouse1_lib2.final_cell_0254	beta
mouse1_lib2.final_cell_0255	delta
mouse1_lib2.final_cell_0256	beta
mouse1_lib2.final_cell_0257	ductal
mouse1_lib2.final_cell_0258	endothelial
mouse1_lib2.final_cell_0259	endothelial
mouse1_lib2.final_cell_0260	ductal
mouse1_lib2.final_cell_0261	alpha
mouse1_lib2.final_cell_0262	delta
mouse1_lib2.final_cell_0263	delta
mouse1_lib2.final_cell_0264	beta
mouse1_lib2.final_cell_0265	beta
mouse1_lib2.final_cell_0266	endothelial
mouse1_lib2.final_cell_0267	beta
mouse1_lib2.final_cell_0268	beta
mouse1_lib2.final_cell_0269	activated_stellate
mouse1_lib2.final_cell_0270	delta
mouse1_lib2.final_cell_0271	ductal
mouse1_lib2.final_cell_0272	macrophage
mouse1_lib2.final_cell_0273	beta
mouse1_lib2.final_cell_0274	delta
mouse1_lib2.final_cell_0275	beta
mouse1_lib2.final_cell_0276	beta
mouse1_lib2.final_cell_0277	beta
mouse1_lib2.final_cell_0278	beta
mouse1_lib2.final_cell_0279	ductal
mouse1_lib2.final_cell_0280	ductal
mouse1_lib2.final_cell_0281	ductal
mouse1_lib2.final_cell_0282	ductal
mouse1_lib2.final_cell_0283	ductal
mouse1_lib2.final_cell_0284	ductal
mouse1_lib2.final_cell_0285	ductal
mouse1_lib2.final_cell_0286	ductal
mouse1_lib2.final_cell_0287	quiescent_stellate
mouse1_lib2.final_cell_0288	delta
mouse1_lib2.final_cell_0289	endothelial
mouse1_lib2.final_cell_0290	ductal
mouse1_lib2.final_cell_0291	endothelial
mouse1_lib3.final_cell_0001	beta
mouse1_lib3.final_cell_0002	beta
mouse1_lib3.final_cell_0003	ductal
mouse1_lib3.final_cell_0004	delta
mouse1_lib3.final_cell_0005	alpha
mouse1_lib3.final_cell_0006	endothelial
mouse1_lib3.final_cell_0007	beta
mouse1_lib3.final_cell_0008	ductal
mouse1_lib3.final_cell_0009	beta
mouse1_lib3.final_cell_0010	ductal
mouse1_lib3.final_cell_0011	ductal
mouse1_lib3.final_cell_0012	ductal
mouse1_lib3.final_cell_0013	ductal
mouse1_lib3.final_cell_0014	ductal
mouse1_lib3.final_cell_0015	ductal
mouse1_lib3.final_cell_0016	ductal
mouse1_lib3.final_cell_0017	ductal
mouse1_lib3.final_cell_0018	beta
mouse1_lib3.final_cell_0019	ductal
mouse1_lib3.final_cell_0020	gamma
mouse1_lib3.final_cell_0021	delta
mouse1_lib3.final_cell_0022	beta
mouse1_lib3.final_cell_0023	beta
mouse1_lib3.final_cell_0024	delta
mouse1_lib3.final_cell_0025	ductal
mouse1_lib3.final_cell_0026	delta
mouse1_lib3.final_cell_0027	quiescent_stellate
mouse1_lib3.final_cell_0028	ductal
mouse1_lib3.final_cell_0029	ductal
mouse1_lib3.final_cell_0030	endothelial
mouse1_lib3.final_cell_0031	ductal
mouse1_lib3.final_cell_0032	beta
mouse1_lib3.final_cell_0033	ductal
mouse1_lib3.final_cell_0034	ductal
mouse1_lib3.final_cell_0035	ductal
mouse1_lib3.final_cell_0036	ductal
mouse1_lib3.final_cell_0037	ductal
mouse1_lib3.final_cell_0038	delta
mouse1_lib3.final_cell_0039	beta
mouse1_lib3.final_cell_0040	beta
mouse1_lib3.final_cell_0041	ductal
mouse1_lib3.final_cell_0042	endothelial
mouse1_lib3.final_cell_0043	endothelial
mouse1_lib3.final_cell_0044	delta
mouse1_lib3.final_cell_0045	delta
mouse1_lib3.final_cell_0046	ductal
mouse1_lib3.final_cell_0047	beta
mouse1_lib3.final_cell_0048	beta
mouse1_lib3.final_cell_0049	beta
mouse1_lib3.final_cell_0050	delta
mouse1_lib3.final_cell_0051	beta
mouse1_lib3.final_cell_0052	beta
mouse1_lib3.final_cell_0053	beta
mouse1_lib3.final_cell_0054	endothelial
mouse1_lib3.final_cell_0055	endothelial
mouse1_lib3.final_cell_0056	ductal
mouse1_lib3.final_cell_0057	quiescent_stellate
mouse1_lib3.final_cell_0058	beta
mouse1_lib3.final_cell_0059	beta
mouse1_lib3.final_cell_0060	beta
mouse1_lib3.final_cell_0061	beta
mouse1_lib3.final_cell_0062	beta
mouse1_lib3.final_cell_0063	ductal
mouse1_lib3.final_cell_0064	ductal
mouse1_lib3.final_cell_0065	beta
mouse1_lib3.final_cell_0066	beta
mouse1_lib3.final_cell_0067	ductal
mouse1_lib3.final_cell_0068	beta
mouse1_lib3.final_cell_0069	beta
mouse1_lib3.final_cell_0070	ductal
mouse1_lib3.final_cell_0071	ductal
mouse1_lib3.final_cell_0072	ductal
mouse1_lib3.final_cell_0073	ductal
mouse1_lib3.final_cell_0074	beta
mouse1_lib3.final_cell_0075	beta
mouse1_lib3.final_cell_0076	ductal
mouse1_lib3.final_cell_0077	beta
mouse1_lib3.final_cell_0078	activated_stellate
mouse1_lib3.final_cell_0079	immune_other
mouse1_lib3.final_cell_0080	beta
mouse1_lib3.final_cell_0081	beta
mouse1_lib3.final_cell_0082	ductal
mouse1_lib3.final_cell_0083	beta
mouse1_lib3.final_cell_0084	beta
mouse1_lib3.final_cell_0085	quiescent_stellate
mouse1_lib3.final_cell_0086	ductal
mouse1_lib3.final_cell_0087	ductal
mouse1_lib3.final_cell_0088	delta
mouse1_lib3.final_cell_0089	ductal
mouse1_lib3.final_cell_0090	ductal
mouse1_lib3.final_cell_0091	ductal
mouse1_lib3.final_cell_0092	beta
mouse1_lib3.final_cell_0093	beta
mouse1_lib3.final_cell_0094	beta
mouse1_lib3.final_cell_0095	quiescent_stellate
mouse1_lib3.final_cell_0096	endothelial
mouse1_lib3.final_cell_0097	macrophage
mouse1_lib3.final_cell_0098	beta
mouse1_lib3.final_cell_0099	ductal
mouse1_lib3.final_cell_0100	beta
mouse1_lib3.final_cell_0101	endothelial
mouse1_lib3.final_cell_0102	beta
mouse1_lib3.final_cell_0103	gamma
